43.119,0.053098,34.126,44.251,0.0097503
42.543,0.04884,34.238,44.318,0.0083878
41.967,0.044979,34.301,44.36,0.0072256
41.167,0.04022,34.306,44.374,0.0058938
40.348,0.036082,34.208,44.334,0.0048305
39.51,0.032495,34.01,44.242,0.0039834
38.671,0.029392,33.734,44.11,0.0033088
38.16,0.027667,33.539,44.016,0.0029577
37.67,0.026094,33.338,43.918,0.0026525
37.205,0.024656,33.136,43.82,0.0023866
36.765,0.023343,32.935,43.722,0.0021545
36.344,0.02214,32.733,43.623,0.0019513
35.936,0.021038,32.526,43.522,0.0017731
35.535,0.020028,32.311,43.416,0.0016167
35.142,0.019102,32.088,43.306,0.0014792
34.788,0.018308,31.879,43.203,0.0013657
34.461,0.017577,31.685,43.108,0.0012648
34.183,0.016903,31.526,43.03,0.0011747
33.98,0.01628,31.429,42.983,0.0010937
33.882,0.015682,31.425,42.982,0.0010177
33.927,0.015121,31.548,43.046,0.00094791
34.139,0.014586,31.824,43.186,0.0008826
34.529,0.014065,32.265,43.409,0.00082035
35.055,0.01358,32.831,43.695,0.00076376
35.723,0.013088,33.533,44.049,0.00070815
36.511,0.012583,34.354,44.463,0.00065318
37.39,0.01206,35.266,44.922,0.00059879
38.355,0.011501,36.272,45.428,0.0005435
39.343,0.010923,37.308,45.949,0.00048955
40.322,0.010332,38.343,46.469,0.00043753
41.264,0.0097321,39.351,46.975,0.00038804
42.22,0.009085,40.386,47.495,0.00033815
43.101,0.008446,41.355,47.981,0.00029239
43.903,0.007823,42.251,48.431,0.00025105
44.627,0.0072228,43.072,48.843,0.00021423
45.302,0.0066277,43.849,49.232,0.00018061
45.897,0.0060675,44.546,49.582,0.00015158
46.413,0.005545,45.161,49.89,0.00012678
46.848,0.005062,45.692,50.156,0.00010581
47.256,0.004542,46.207,50.414,8.5334e-05
47.549,0.0040779,46.599,50.611,6.8902e-05
47.736,0.0036679,46.877,50.75,5.5833e-05
47.831,0.0033088,47.053,50.839,4.5505e-05
47.852,0.0029865,47.148,50.886,3.7125e-05
47.807,0.0027095,47.168,50.897,3.0599e-05
47.706,0.002473,47.123,50.875,2.5522e-05
47.547,0.0022724,47.013,50.82,2.1574e-05
47.306,0.0020925,46.816,50.721,1.8316e-05
46.988,0.0019448,46.536,50.581,1.5839e-05
46.601,0.0018255,46.179,50.403,1.3971e-05
46.163,0.001731,45.767,50.197,1.2576e-05
45.711,0.001659,45.335,49.981,1.1565e-05
45.258,0.0016048,44.898,49.762,1.0834e-05
44.811,0.0015658,44.463,49.545,1.0323e-05
44.366,0.0015396,44.027,49.327,9.9911e-06
43.953,0.0015255,43.62,49.124,9.8177e-06
43.529,0.0015197,43.2,48.913,9.7523e-06
43.108,0.0015214,42.782,48.704,9.783e-06
42.726,0.0015295,42.402,48.514,9.8952e-06
42.499,0.0015388,42.175,48.401,1.0021e-05
42.355,0.0015498,42.029,48.328,1.0168e-05
42.32,0.0015613,41.992,48.309,1.0319e-05
42.419,0.0015717,42.088,48.357,1.0454e-05
42.655,0.001579,42.321,48.473,1.0546e-05
43.035,0.0015823,42.697,48.662,1.058e-05
43.555,0.00158,43.214,48.92,1.0538e-05
44.203,0.0015712,43.859,49.243,1.0407e-05
45.048,0.0015525,44.701,49.664,1.0146e-05
45.986,0.0015245,45.638,50.133,9.7669e-06
46.977,0.0014872,46.63,50.629,9.2828e-06
47.982,0.0014419,47.638,51.133,8.7146e-06
48.918,0.0013927,48.579,51.604,8.1219e-06
49.814,0.001339,49.483,52.055,7.5019e-06
50.657,0.0012824,50.334,52.481,6.8764e-06
51.439,0.0012243,51.126,52.877,6.2641e-06
52.343,0.0011503,52.043,53.336,5.527e-06
53.146,0.001078,52.861,53.745,4.8533e-06
53.85,0.0010092,53.579,54.104,4.2527e-06
54.452,0.00094506,54.196,54.413,3.7285e-06
54.994,0.00088064,54.753,54.691,3.2374e-06
55.403,0.00082345,55.176,54.903,2.8306e-06
55.68,0.00077379,55.466,55.048,2.4997e-06
55.835,0.00073166,55.632,55.131,2.2351e-06
55.886,0.00069675,55.692,55.161,2.0272e-06
55.854,0.0006685,55.668,55.149,1.8664e-06
55.751,0.0006463,55.571,55.1,1.7448e-06
55.582,0.00062953,55.408,55.019,1.6557e-06
55.347,0.00061771,55.177,54.903,1.5945e-06
55.038,0.00061035,54.871,54.75,1.5571e-06
54.654,0.00060721,54.489,54.559,1.5415e-06
54.206,0.00060806,54.041,54.335,1.5463e-06
53.71,0.00061268,53.546,54.088,1.5704e-06
53.194,0.00062073,53.029,53.829,1.6125e-06
52.674,0.00063181,52.508,53.569,1.6712e-06
52.159,0.00064552,51.991,53.31,1.7452e-06
51.748,0.00065811,51.578,53.104,1.8144e-06
51.332,0.00067206,51.16,52.894,1.8928e-06
50.906,0.00068733,50.731,52.68,1.9805e-06
50.473,0.0007039,50.296,52.463,2.0779e-06
