dir,RSEED,sigmaobs,nobs,mae,acc
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564176.683.h5,224.0,1.5,2000.0,3.594967308044433,0.815
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564177.505.h5,224.0,1.7,2000.0,3.620812950134277,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564177.516.h5,224.0,1.8,2000.0,3.690812549591064,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564177.444.h5,224.0,1.6,2000.0,3.570694704055786,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.837.h5,225.0,0.1,2000.0,3.558030881881714,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.810.h5,225.0,0.5,2000.0,3.554921464920044,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.765.h5,225.0,0.0,2000.0,3.4989845275878912,0.8525
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.765.h5,224.0,2.0,2000.0,3.79736439704895,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.810.h5,225.0,0.3,2000.0,3.567638521194458,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.810.h5,225.0,0.4,2000.0,3.5333039283752443,0.83
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.765.h5,224.0,1.9,2000.0,3.7761257171630858,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564179.810.h5,225.0,0.2,2000.0,3.532466564178467,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564127.213.h5,222.0,0.5,2000.0,3.5637353134155267,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564134.937.h5,222.0,0.7,2000.0,3.5757368087768566,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564133.954.h5,222.0,0.6,2000.0,3.5559921836853032,0.8575
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564135.941.h5,222.0,1.0,2000.0,3.67827226638794,0.835
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564134.951.h5,222.0,0.8,2000.0,3.6003531074523925,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564135.941.h5,222.0,0.9,2000.0,3.606614990234375,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564137.716.h5,222.0,1.6,2000.0,3.8440963935852053,0.8125
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564138.295.h5,222.0,1.8,2000.0,3.8779889488220216,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.486.h5,222.0,2.0,2000.0,3.981696033477783,0.825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564138.779.h5,222.0,1.7,2000.0,3.8830774307250975,0.82
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564137.716.h5,222.0,1.4,2000.0,3.7603073120117188,0.8225
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.941.h5,223.0,0.4,2000.0,3.543341999053955,0.8575
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.723.h5,224.0,0.9,2000.0,3.3213126850128174,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.922.h5,223.0,0.6,2000.0,3.568029613494873,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.977.h5,223.0,1.1,2000.0,3.6908909988403322,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.922.h5,223.0,0.8,2000.0,3.607866086959839,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.546.h5,223.0,0.0,2000.0,3.5396342086791988,0.86
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.941.h5,223.0,0.3,2000.0,3.537496747970581,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.977.h5,223.0,1.2,2000.0,3.69558349609375,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564142.067.h5,223.0,2.0,2000.0,3.9358237457275385,0.82
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564141.683.h5,224.0,0.8,2000.0,3.3646357154846185,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.941.h5,223.0,0.2,2000.0,3.536767492294312,0.865
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.922.h5,223.0,0.7,2000.0,3.588283882141113,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.923.h5,223.0,0.5,2000.0,3.5569048976898188,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564142.070.h5,224.0,1.4,2000.0,3.525250587463379,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564142.067.h5,223.0,1.9,2000.0,3.902348079681397,0.8225
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564212.414.h5,225.0,0.8,2000.0,3.5724448680877687,0.865
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564212.414.h5,225.0,0.9,2000.0,3.5378035926818847,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564139.941.h5,223.0,0.1,2000.0,3.5287109279632567,0.86
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564212.414.h5,225.0,0.6,2000.0,3.5645300579071044,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564142.067.h5,223.0,1.7,2000.0,3.8437961673736583,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564142.070.h5,224.0,1.3,2000.0,3.486515808105469,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564214.694.h5,225.0,1.3,2000.0,3.7022941875457764,0.825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564214.694.h5,225.0,1.2,2000.0,3.6777331161499034,0.835
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564214.694.h5,225.0,1.1,2000.0,3.686948528289795,0.825
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564214.665.h5,225.0,1.7,2000.0,3.76681085586548,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564214.665.h5,225.0,1.5,2000.0,3.7299732398986816,0.8275
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564214.694.h5,225.0,1.0,2000.0,3.677965278625488,0.8175
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564214.665.h5,225.0,1.4,2000.0,3.7332436847686767,0.8375
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564249.126.h5,227.0,0.3,2000.0,3.8626146697998047,0.8175
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564249.126.h5,227.0,0.2,2000.0,3.93654483795166,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564249.126.h5,227.0,0.1,2000.0,3.898455629348754,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564249.126.h5,227.0,0.0,2000.0,3.620232067108154,0.86
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.097.h5,228.0,0.2,2000.0,3.287201986312866,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.125.h5,228.0,0.6,2000.0,3.443379726409912,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.097.h5,228.0,0.1,2000.0,3.2866886234283452,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.097.h5,228.0,0.0,2000.0,3.4084369945526123,0.8325
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.125.h5,228.0,0.4,2000.0,3.4212629985809326,0.8425
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.097.h5,227.0,2.0,2000.0,4.289015407562257,0.82
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.125.h5,228.0,0.3,2000.0,3.309440803527832,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564251.730.h5,228.0,0.5,2000.0,3.424238739013672,0.845
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564285.907.h5,228.0,0.9,2000.0,3.5102747917175288,0.8475
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564285.907.h5,228.0,1.0,2000.0,3.5278322601318366,0.835
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564286.045.h5,228.0,0.8,2000.0,3.4869288063049315,0.84
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564285.907.h5,228.0,0.7,2000.0,3.3244667434692383,0.85
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564288.974.h5,228.0,1.3,2000.0,3.587322826385498,0.83
/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564289.009.h5,228.0,1.6,2000.0,3.5742018127441413,0.82
