data_dir,model_dir,RSEED,sigmaobs,nobs,deltaobs,sigmainit,nens,ferr,infl_nlin,f_all,a_all,f_10,a_10,f_30,a_30
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579147.341.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,0.8,3.782801354102364,6.27688578979061,1.9703411880211563,2.2210762093853136,4.310072881148138,7.411465473428151
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579144.819.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,1.0,3.406905202865893,5.077276490356993,1.5477774250805625,1.5122263167070462,4.081158059144529,6.4902230186615135
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579163.245.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.2,1.2,3.056967995259184,3.5604641459427087,1.2827496242158982,1.2552807039097842,3.830926619965543,5.261849137327007
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579152.622.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,1.1,3.1227865299091784,4.028530053008722,1.2657074584096977,1.1287140825132516,3.8634750475002297,5.541871473090159
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579155.386.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,1.4,3.1332290350788146,3.8720191567249502,1.4075557821699456,1.4072575206444078,3.83488522131419,5.442445152809231
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579144.574.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,0.7,3.3700935228237365,5.261258833991471,1.5334277146667197,1.4416667222846318,4.067518340384826,6.959210835223316
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579151.569.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,1.0,3.53070212384114,5.093255417456395,1.7767901073104837,1.8463393700385065,4.15393204931679,6.397334742459669
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579140.402.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.0,0.5,3.700004919505561,6.271610483165736,1.7350348119682062,1.7308712374855808,4.330225364256891,7.923998887629796
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579160.403.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.2,0.8,3.451276771153537,4.588047522219847,1.6411949797660546,1.6129788049826737,4.082053991196112,5.8350915684194495
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579174.717.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.3,1.4,3.0079228394800723,3.5459869920594387,1.26449016161394,1.1635233876523223,3.6856943914356326,4.754757982229322
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579150.164.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,0.7,3.439097956850365,5.118182786478903,1.529979166720352,1.584469364363133,4.207483074332705,6.909528664847622
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579152.648.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.1,0.6,3.4924064668239816,5.2459907535962405,1.6662501115939568,1.5527857436494283,4.188262987424629,6.996416238993069
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579171.735.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.3,1.0,3.11725153733921,3.7407528638390697,1.4210181031121365,1.2759231680561178,3.798435642094649,5.325146789237038
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579168.123.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.2,1.0,3.2552202334003306,4.042816724390371,1.3373979853607147,1.137864373383789,3.955053422158502,5.162317523067531
/pine/scr/s/i/siyangj/DAL96/DAruns/da1535579157.885.npz,/pine/scr/s/i/siyangj/DAL96/MLmodels/m1535564323.274.h5,224.0,0.9,200.0,0.1,1.3,100.0,1.2,0.5,3.5064685193677505,5.457267015464463,1.6329951751369591,1.6373495147998702,4.137637857696324,6.7963035167287975
